,content,date,rating
1294,"I liked the insights provided by the author into the world of Trump. The book had a number of interesting passages but after awhile, the narrative became boring and seemed to be just be repeating the same observations with different particular situations. I listened to the Audible book and the narrator was not that interesting to listen to, which also distracted from the content.  After reading this, I listened to Unbelievable by Katy Tur which provided related insights on the Trump campaign but in a more engaging way.",January-10-2018,4
1295,Very very interesting view of the people in the white house and how it all is managed or mismanaged.  These are a very scary group of people with no long term understanding of the world or of the constitution.  Trump is a huge embarrassment and laughing joke around the world.Thank you Michael.,February-8-2018,5
1296,"I thought it was a riveting read that tied all the pieces together.  And, while I've heard the stories that Michael Wolf has been known to shade the truth a bit, so much of it is already public knowledge.  Told in a fascinating way.  Fascinating, like a car wreck is fascinating -- you just cannot turn your eyes away.  I read the book in two days.  Also, as a result of this book, Bannon is being called before Congress to testify and has been issued a subpoena to go before Mueller.  If the book does nothing more than that, I'm happy.",January-18-2018,5
1297,most if it is anti-climactic since the media devoured it prior to my receipt it.  However it is a pretty good read and frightening at the same time. If you didnâ€™t pay attention to the media accounts of the book then you will find it interesting,February-13-2018,4
1298,Disliked the run-on sentence structure of the book. Appreciated the honesty and the insights into the chaos and the madness of people running our country.,February-22-2018,4
1299,WOW I am not sure how much is true but even if 1/2 true it shows a presidency of dunces and amateurs,February-14-2018,5
1300,This book answers a lot of questions that I had about why the White House seems unable to function at a basic level.,February-18-2018,5
1301,"Sadly, the book confirms your worst fears. On the plus side, though, it provides some insight into how the insanity of the last few years came into being.That Trump never expected, nor wanted, to win and was just campaigning to raise his brand image before he and Ailes launched a new cable news network makes total sense. That is something you could easily see someone as vane and narcissist as The Donald doing with his golden years. Running for office and serving the country, yeah, not so much.As to whether the book belongs in the fiction section as some suggest, my sense is that there likely has been some embellishment, but that the vast majority of the book is truthful. Plus, if it were just a bunch of lies, why would Trump have turned on his once senior political advisor with such speed and ferocity? The day before the book came out, Steve Bannon was the political genius responsible leading the political revolution that resulted in Trumpâ€™s election. The day after the book came out, he was derided as insane and called â€œsloppy Steveâ€ù by Trump. That pretty much says it all, right there.",January-13-2018,5
1302,nothing really new in the book if you watch the news and pay attention to whats going on. the book mostly just puts the names of the leakers that the people on tv wouldnt divulge  when they broadcast the insanity of the trump whitehouse.,March-5-2018,4
1303,This book tells the truth about the chaos in the Whit House during the trump administration.,March-3-2018,5
1304,"Although I had followed the daily drama of the presidential campaign throughout 2016, Trumpâ€™s victory, (oh, the agony of it all), the transition and transfer to the new administration (I miss you, President Obama!) in January, 2017, I learned a lot from this book.  It fills in a good deal of context (duh â€“ like itâ€™s supposed to) â€“ a lot of behind-the-scenes information that didnâ€™t make the news.  It truly is a page turner â€“ Moves along at a fast pace, and reads like a novel based on an historical event - political treachery / tragedy.  Most people are already familiar with the characters herein, so thereâ€™s no confusion about whoâ€™s who.  Itâ€™s quite an experience reading this:  One soon becomes immersed in the narrative about the people and events in the White House â€_ and the reader soon feels as if s(he) is part of the drama â€_ right there among the people about whom weâ€™ve read so much and found so often on our monitors and T.V. screens.  Having read it, I feel better informed about whatâ€™s happening in (and to) our country at the highest level of our government.  No wonder this book has become so hugely popular.  I highly recommend it to all.",January-19-2018,5
1305,"Other than the bombastic and egotistic need for the author to use abstract and archaic words to try to show his intellect I found the book riveting and couldn't put it down. Well worth the read if you ever had even a sniff of incompetency on the part of the current White House. If like most sensible people you knew this candidate, now president, was an imposter then your instincts will be proven correct.",February-5-2018,4
1306,Interesting to read what a hot mess the White House is in.  Can't wait 'til the mess is over.,February-26-2018,5
1307,"I did not think I would enjoy reading the book, but found it to be an easy and informative read.",February-24-2018,5
1308,Great book. And I think 95% of it is probably true.,February-9-2018,5
1309,Despite what the media has reported about this book it's more about Bannon than Trump. It details how chaotic the inner workings of the Trump administration have been. How in over his head the President is and how he is pretty much a puppet. A puppet being controlled by either Bannon or Javanka.,January-21-2018,5
1310,I am college educated and found the vocabulary a bit challenging at times. It feels like the author was trying to use vocabulary as validation for his statements. It was unnecessary! Otherwise I found it through and interesting.  If only 20% of it were true I would say that we have a real national crisis on our hands.,March-24-2018,4
1311,I liked that trump didn't want this book to be published so I purchase it and read it in protest,February-4-2018,5
1312,"Read it, don't judge, just read. Weather you support our president or not, this is a could not put down read",January-18-2018,5
1313,"I became uncomfortable with how much this book appeals to Bannon's narrative, but it appears he was one of the few interviewed who had any common sense (not withstanding his ethnocentric nationalist agenda). I appreciate the insight provided by the author attempting to understand what is happening inside the white house while interviewing a large cast of stupid people, evil people, and liars. While choking down this bold interpretation I would implore you to read between the lines and come to your own conclusions. This work will likely be the closest we will ever come to understanding the 'truth' of the first year inside this nightmare.",January-10-2018,5
1314,That is Trump alright... he has not changed and never will... A bully through and through.,March-4-2018,5
1315,"This is a great book and as time passes, things written in the book playout on the news.",March-8-2018,5
1316,I have always thought Trump was a con man and a fraud this book confirmed it.,January-23-2018,5
1317,Many people may assume at first glance that this book is biased. I am here to tell you that it is not. The author truly took every person's view into account. Collecting arguments from every angle possible truly was the best way to tell the truth.,January-24-2018,5
1318,Penetrating behind the scenes look that makes everything chaotic suddenly make much more sense.,March-9-2018,5
1319,"The writing style is a little bit tabloid and the sentences are unnecessarily convoluted, but I am really struck with how sympathetically he portrays everyone. Like, no matter how badly someone is behaving, the author gives you context to understand why they are acting that way.",January-8-2018,4
1320,Honestly just bought the book to piss off the Cheeto man but itâ€™s a great read!,January-20-2018,5
1321,"Dear Draft-dodgin' Donnie, Don't tell me what to buy - this isn't North Korea, and you can't censor something just because it doesn't paint you in a good light. I loved this book, lots of crazy info!! Feel so bad for Melania!! And the rest of America. What a SAD, childish, cheese burger chompin' IDIOT we have in office. I recommended to everyone I know!! :-)",February-18-2018,5
1322,"Loved it! Gave background to what weâ€™ve heard on the news. And the madder it makes Trump, you know where the truth really hurts.",March-20-2018,5
1323,"It was an interesting read - probably most of it can be believed, but I found Michael Wolff''s writing style is hard to read.  When taking writing courses in school, I learned that ""run-on sentences"" were a no-no.  However, most of this book was written in this manner.  Frequently a whole paragraph was nothing but one long, badly constructed sentence, which had you confused before you finished the paragraph.  He also injected long, seldom used words (most likely to show how smart he is) when a more recognizable one or two would do. Luckily I was reading on my Kindle (with a readily available dictionary included).However, you do feel as if you're getting some ""insider"" info, so maybe it does clear up some details not in news accounts.",March-8-2018,3
1324,eye opening.,January-11-2018,5
1325,This is a great read.  Sad our country has come to this but really tells what's going on in the WH.,February-8-2018,5
1326,"Entertaining and sobering. Michael Wolff has opened a window into he Trump Presidency which will cause many to lose sleep and I don't just mean progressives. Trump's mercurial nature as illustrated in Wolff's book is on display as we endure the current government shutdown. Provoked, in no small part unquestionably by a president who can not allow a win-win negotiation but who sees every negotiation  one n which  ""I win"", ""you lose"". The DACA bi-partisan bill fell to this caprice as did the CR bill which Senator Schumer thought Trump had agreed to, but reneged upon. No president in history would have been able to survive one term with this type of arbitrariness. Unfortunately, the Republican Party, always more beholden to their benefactors rather than their constituents, has shown an ethical vacuity which has enabled this mess of an administration. Michael Wolff likely has surprised no-one (his own estimation) since we should have seen this coming. I will give it four stares rather than five due to editorial laxity (misspelling, errors in context, etc. )which show it was rushed to print. Although overall I highly recommend the book for an overview of the state of our politics today.",January-20-2018,4
1327,"An interesting and compelling book. Although much of what the author describes has been known about this President already - his short attention span, that he doesn't read, is not well-read, is not curious, is impulsive, etc.- this book gives background information about how and why these deficits and character flaws are impacting Trump's leadership and policy-making abilities. The information about Trump and his White House is scary as hell and we all should be paying very close attention to everything that's going on.",February-4-2018,5
1328,"I only wish Michael Wolff had been with the campaign, too - would love to have heard about THAT.",February-14-2018,5
1329,I think the biggest surprise was how his own staff thought Trump was a joke. My biggest question: Can Trump read and comprehend?,March-3-2018,5
1330,"Well-written, poorly edited, fascinating look into the first 199 days. Wolfe has performed a real service with this book. Chickens are coming home to roost in theTrump WH. We may all be at great risk. We canâ€™t say we werenâ€™t warned.",March-7-2018,5
1331,"Sadly, this confirms too much of our suspicions.  A timely book and one that hopefully will define a very brief moment in our country's history. A must read for anyone concerned about this present occupier of the White House.  God save us all.",March-5-2018,5
1332,Michael Wolff used his nearly unfettered access to the Trump White House (and particularly to Steve Bannon) to paint a vivid picture of the chaos and internal power struggle behind our most peculiar and erratic POTUS.,April-28-2018,5
1333,"Competing religious like agendas, massive egos coupled with a total lack of self awareness and appreciation for the complexities of running the office of the Presidency of the United States. Sad...",January-8-2018,4
1334,"The real insight into the unprofessional and unqualified bunch of clowns running our government in the White House and the cabinet.  It is truly scary what has happened to this great country.  This president is a disgrace to the United States. As a 20 year retiree from active duty in the United States Army, I am fearful of the future of our great nation. Your book was riveting reading.",March-7-2018,5
1335,"Beyond the politics there is a cast of characters thrown together in what appeared to be a victory, the Presidency, but as the tale is told what unravels is the grasp for power and money.",January-20-2018,5
1336,"The book was almost a chatty version of day to day life as seen by the participants of a pre election campaign and then a chaotic Whitehouse in its early days. It shows people who came in with attitudes of ""deliberate change ahead"" but without any pre-planning of how to organize, staff and start the implementation.  It gives a scary indictment  of the results of the lack of vetting of nominees for the highest position in the western world and how a lack of understanding of history and intercountry relationships affect world behavior with or without leadership.",March-13-2018,4
1337,"I canâ€™t give a full review as I quit reading it half way through.  Not because it wasnâ€™t well written or informative.  But because we continue to live in the fire and fury of the Trump White House.  Maybe some day in the future I will be able to look back and try and make sense of it all.  Sadly, what I did read was not surprising.  I appreciate Michael Wolffâ€™s willingness to share.",March-13-2018,4
1338,A must read.  What an eye opener.  It leaves you feeling very scared about the future.,January-11-2018,5
1339,"Fascinating book. I believe a great portion of this book, but would temperate the outrageous antidotes, as somewhat moderately true  Time will tell what will happen to this presidency and our country.  And it is a frightening future I am afraid.  Yes I recommend this book. But I find Wolff,s writing style extremely difficult to read. Plus all his unnecessary and ridiculous over the top vocabulary.",February-25-2018,4
1340,"Don't really care for the authors writing style. Uses many, many big or unheard of words making it difficult to follow. I got half way thru and am now bored. A lot of hype, made him a lot of money, but the book ( what I read) was a disappointment",March-1-2018,2
1341,It seems that Trump is the master of the cluster  #$%?,January-10-2018,4
1342,"Holy cow...how did we get here??? What a bunch of incompetent nuts. Ruthless for money and power but not enough political experience between them to find their way out of a paper bag. Think about your hairdresser complaining about how lazy airline pilots are and how she could fly a plane better if she put her mind to it. Then she tries. They are even too stupid and ego driven to know what they don't know. It's a page turner, and each day it gets proven more and more. God helps us. America the Beautiful has got to put her big girl panties on and kick some butt to get peace, order, and a future for the middle class back.",January-25-2018,5
1343,Most of the information is common knowledge if you listen to the news every day.  But there are some inner details that are not available to the public.  It confirms the fact that Trump is the worst corrupt president in history.,March-13-2018,5
1344,"I would like to believe I'm a rather educated man, however, Michael Wolff spent more time using ""big words"" to explain even the simplest of topics, than he did on the subject matter.  The story line was all over the place.  I would have enjoyed it more if the chapters were better transitioned.  The only positive outcome of reading this book is I learned the meaning of hundreds of words.  That being said there are also a few grammar and spelling errors in the book. (Note: I am not a Trump supporter, however, I am proud to be American and support democracy and our government)",February-4-2018,2
1345,The book was like watchdog CNN reruns. Gannon is a joke. He won't get any votes. It  will be a woman.,January-26-2018,3
1346,It was very interesting to read this book. Why does our country deserve such jerk to be our president?,February-5-2018,4
1347,"I truly believe this man is a nutHe's got a quite coarse hair right up his buttWhich makes him so grumpyAnd, also quite dumpyHe opens his big mouthHe goes even more southA gentleman?  Not!He's second grade snotWho voted him in?  Not I!  Not that spin!It's like going in circles, around and aroundAnd, never the truth, shall ever be found!Who let this nut loose?As loose as a goose!That's even too good!He verges on hood!He sits on the potAnd lets out the snot!Poopin' and tweetin""Lyin' and cheatin'.Drawing his linesPosting his whines!He thinks he's the greatestThis ""Johnny Come Latest""In love with himselfThis narcissist elfSittin' there tweetin'Yikes! What a beatin'Starin' in the glassThis narcissist ass!Looney and flightyDare-y and spite-ySee what you gotWhen you voted for hell?Now we all have to put up with the smell!",January-18-2018,5
1348,"I bought this book because DJT and his toddler outbursts made me do it. I wasn't planning on it, but 10/10 would recommend.",January-6-2018,5
1349,"Wolff provides ecstatic amounts of firsthand anecdotal evidence to prove how historically insane the Trump White House truly is, which is surprisingly even more so than one could have imagined.However the book will likely do little to convince anyone of anything, as those who will be receptive to it already know Trump and his rise to our highest office is indicative of a fractured citizenry and a systematically brainwashed voting populace. Anyone who supports Trump will never read a word, or simply decry it as fake news.Wolff's writing style isn't the friendliest either, though he masterfully integrates dozens of players throughout this maze of a cluster**** which no modern director could reasonably portray on screen without generating millions of incredulous eyerolls.",March-27-2018,4
1350,"I couldnâ€™t stop listening. Even if not all true, you definitely get a feel for the competitiveness and free-for-all nature of this WH. Surprised to find myself wishing Trump would take more advice from is Ivanka. Omg. I just realized..Thatâ€™s how bad it is. Lol",March-14-2018,5
1351,"According to this, Trump had a scalp reduction surgery. This information alone makes this book priceless.",January-10-2018,5
1352,The truth. Nothing else.,January-11-2018,5
1353,I read this from cover to cover in 2 days. It was a real eye opener. I liked that the author did state that some of it may have been opinion or that he could not authenticate some of the info. It made the person of Trump a little more human. Was not surprised by most. Made me feel bad for Melania. But Mr. Trump is NOT a nice man.,February-23-2018,5
1354,"Movie â€œ A Few good manâ€ùDo not read this book if you can not HANDLE THE TRUTH!Very well written and very informative. There are no big surprises, but the information confirms what we should have known about Donald Trump and Family, except his current wife MeliniaHopefully people after reading this book, will get involved in our election this year.. It is called being PATRIOTIC, not PARTISAN",January-14-2018,5
1355,"I Just received it, after the waves of more and more news about it, I think it will be joyfully reading book.in fact the treatment of Donald Trump period is so complicated and so confusion in the same time, but it is so funny in reading.he came to the presidency by the American choice, and he will leave it by their desire!the American know him so much before his run to the elections, and they voting to him so clear, it is their business not more.the question is: why now they deny him!",February-4-2018,5
1356,"Seems extremely plausible, as disturbing as this seems. Time will either confirm or correct the facts. I hate to think it is all true but encouraged that despite it all, the American system keeps functioning.",January-25-2018,5
1357,"My intention was to read this book in one sitting on a lazy Saturday, but the information was so mind blowing that I had to take breaks to wrap my mind around what I had just read.  The book reinforced what has been plainly on display about this presidency, but added unknown background that explained the why's and how's. All I can say is that I will never take any political people at face value again, and I am praying for our country every day.",January-13-2018,5
1358,What can I say that hasn't been said on TV and talk radio? Fascinating and easy to read.,February-17-2018,5
1359,I haven't finished this yet.  But the rumors that Trump is a clueless sleaze bag seem to be true.,January-24-2018,5
1360,"I hate Trump. That being said, the writer was sloppy in his research and even basic editing principles. I read about half of it, and there's a lot of juicy gossip, but knowing that there are at least some facts that are wrong makes it difficult to finish.",March-31-2018,2
1361,"MW writes almost as a fourth party member with his descriptions of the unorthodox forms of miss communications at the highest level of our government. When a person is elected as President he should have a sound basis for politics and how they operate in the US. When a businessman assumes s position with absolutely no political background then he is out of focus with his dealings as a President because as a businessman his primary purpose was to fix any problem he had with favors our payoff. I am reminded of past Republican Presidents, primarily, Richard Niacin and Ronald Reagan, and their inane positions. Nixon for Watergate and Reagan for the PATCO debacle. Nixon violated his oath of office. Reagan destroyed PATCO, six airlines, the airline unions. The President is not above the law and his job is to protect the people who asked for better working conditions. Trump has far exceeded the failures of these two presidents and like President Clinton should be held to the highest standard of his office......ER",January-26-2018,5
1362,"Couldn't put it down.  A spot on insider's look at the day to day operations of the most unique, and frightening presidency of our nation's entire history.When taken with currently known facts, and the President's recent live performance in the Cabinet room with Congressional representatives of both parties discussing DACA, it becomes clear that Michael Wolf's central premise is quite true.The book leaves us hoping for the inevitable showdown before Special Counsel Mueller to occur sooner, rather than later, for the safety of both our Democratic Republic, it's institutions, and the world as a whole.",January-11-2018,5
1363,The prologue sent me scrambling for the dictionary but then after that it was an easy read. My advice is skip the prologue and go right to the 1st chapter. A well written account of what is going on inside the White House.,March-15-2018,5
1364,Absolutely eye opening. Everyone regardless of their party affiliation should put this as their #1 book to read in 2018!  Certainly questioned me to look deeper into my ability to go beyound â€œhyperboleâ€ù!  This is a must read!,January-17-2018,5
1365,The Deplorables should read this. If you didn't think he was a narcissistic nut job you will be scared for our country being run by such an inept disorganized delusionist. Sad but Wolf could right another book on all the crimes committed since book release.,February-14-2018,5
1366,Michael Wolff you are my hero. !!!!!I wish I could have added my dirt on him to your  book. Just being a new yorker seeing him over the years operate. He knows the price of turning a man/woman to his ways. We grew up with this Confidence Man. He makes elmer gantry look innocent. Try reading Melville s book. From ace nyc,February-18-2018,5
1367,"All through the book, I thought how could this man be elected president.  Still in shock.",February-24-2018,3
1368,"I knew a lot about what was going on in the White House prior to reading this book, what I enjoyed was filling in so many bits and pieces to make great narrative. Every day is a crazy ride in the WH.",January-12-2018,5
1369,Great listening - all things considered.  Can this be entered into evidence when we impeach?,February-12-2018,5
1370,"The author uses too many ""BIG"" words. Not for a common dummy like myself. Luckily - I have a built-in dictionary on my Kindle - becauseI have to look up at least one or two (sometimes more) words on each and every page. I like the book - but would have enjoyed it more if hewould have written it with less ""BIG"" words. (Maybe it's just me - I'm not sure !!) I've read many books in my lifetime (75 years young), and neverhad to look up the definitions of so many words. Takes away from enjoying the book.",March-8-2018,3
1371,"Much like all of 2017, this book is both bananas and totally plausible. I know there is a lot of he said/he said right now in the news snd for all I know Michael Wolff is a total snake. But the truth is that sometimes you need a snake to catch a snake.",January-7-2018,5
1372,"I'm a liberal and I was fascinated by this account of the inner workings of the Trump White House. However, it was like reading a high school student's collage essay where the student attempts to use every obscure word in their vocabulary, often incorrectly I might add, in attempt to sound intelligent. As Stephen King once wrote, ""any word you have to hunt for in a thesaurus is the wrong word. There are no exceptions to this rule"". Every few pages of Wolff's intellectual exercise contains an obscure term, used incorrectly, and it greatly detracted from the reading experience.",February-25-2018,3
1373,"On point, this describes the background noise as we have been witnessing the volatile first year of this unstable presidency.",January-7-2018,5
1374,"In spite of the dangerous, inept, and clearly unfit man we have in office, I have to admit that I enjoyed this book and even laughed out loud at times. Unlike some other reviewers, I had no problem with the author's style and I kind of enjoyed the asides he frequently inserts into his sentences. As for the accuracy of the book, anyone who has paid attention for the past year has already witnessed so much bizarre behavior by this White House that it's not even remotely a stretch to believe the anecdotes in Wolff's book. Is this a great book? Probably not. I gave it five stars because it is an important one, and a book that should be read by everyone who cares about the survival of our democracy.",January-11-2018,5
1375,In reading this book the supposedly salacious is woven in so smoothly as to feel totally true and real because I'm sure it IS! A GREAT and compelling read. Thanks Mr. Wolff for a brave wonderful book.,January-28-2018,5
1376,"I've been consuming the news coming from this White House avidly.  Fire and Fury provides a good synopsis of the Trump presidency.  It's helped me to better understand relationships among the players and rationales that I hadn't fully appreciated.It cements the argument that this White House is in a constant state of turmoil with a grossly incompetent president at the helm.I highly recommend this book for any thinking person, who wants a better understanding of this unfortunate mess.",January-15-2018,5
1377,"I thought it was bad, but now it's truly scary.No one seems to be in charge, the leader of the free World is a shyster/ex-reality star who thought running for President was a win, because he was certain he had no chance of winning, but in his mind, it was a win for the Trump brand and name, even when ( and he expected to) lose.Who thinks like that?His supporters will call this ""fake news, fake story "".I'm not so sure.He's totally unqualified, he really has no qualified advisors, and even if he did, he doesn't care or listen to them.I pre-ordered this, and when it came out early,Amazon worked with me to get it the minute it came out.I read it in a day.I'm just stunned as to how bad it really is.",January-10-2018,5
1378,"Could not give it a five, only because the writing was wordy, or written in a hurry? Great read, though:) Actually, a lot of it makes complete sense, especially when you consider all that is happening as we speak. Can you say dysFUNCtional? Yup.",April-22-2018,4
1379,"Possibly without sufficient proofs, but stunning inside revelations keep you flipping the page as fast as you can. A sequel perhaps?",March-2-2018,5
1380,"A few interesting tidbits about what Wolff claims is going on in the White House but nothing that makes me believe he really knows much.  It's a lot of hype in my opinion.  You can tell the book was hastily written and definitely needs a good edit which makes it a difficult read.  The problem is mostly in how much is really true vs. speculation.  For me, it wasn't worth the money.",March-13-2018,3
1381,"The audible copy is an easy listening at nearly 12 hrs. This is an inside look at the chaotic white house. On top of that Donald Trump wanted to ban this book which means a lot of the information is real. It is what we already know about Trump. He's nothing more than a narcisstic conman with the help of the media attracted 63 million republican voters with his rhetoric on bigotry, racism, and deceit. Hopefully America (if we survive) comes out of this stronger and better.",January-6-2018,5
1382,"Preordered and arrived earlier than the anticipated date.  Book itself can be read by randomly selecting chapters or front to back.  It is entertaining, amusing ... and frightening. Passed along to a friend when finished.",March-9-2018,5
1383,"I purchased â€œFire and Furyâ€ù out of pique that a president would attempt to squelch publication of a potentially unflattering book. Unflattering, yes; newsworthy, questionable. Not much new, verifiable information is here.  It is a collection of anecdotes viewed through a gossip filter. More than a story about Trump, it posits that Bannon is the more extreme and scary figure.  The pre-publication excerpts were cherry-picked to elicit headlines.  Still, the larger picture of ongoing chaos and infighting is believable.  I would still like to see a list of the alleged â€œmistakesâ€ù and the authorâ€™s rebuttals.",January-28-2018,3
1384,"The author writes clearly about a muddled topic. It is both an easy read and quite frustrating.Honestly, I only bought it because Trump was so adamant that no one should. And now, I'm appalled.",April-26-2018,5
1385,"Very good read and revealing.  Still only 4 stars because, well, 5 to me is exceptional.  But, the only thing wrong is that it still does not address the thing (whatever it is) that is the genius of this moron.",March-12-2018,4
1386,"I'm a librarian and, while all my fact-checking came through with this title, the writing is not as polished as I expected. I'm a New York Times and Washington Post reader so I was expecting that level of craftsmanship.",March-8-2018,3
1387,Interesting and an easy read. Left a rather scary overall impression of Trump as very easily led and manipulated by others.,January-10-2018,5
1388,"If 50% of this book is true, or directionally correct, God help US because incompetent, self-interested, self-dealing Elected Politicians, their families, staffers and cronies wonâ€™t. The swamp just got bigger!",February-9-2018,5
1389,Great book!! It really shows how are going through the Worst presidency in our history.,February-1-2018,5
1390,"I only gave it 3 stars because it is important to have books that challenge those in power. That said, there was very little in the book that I didn't already know from news articles and television coverage of the White House. The writing style was not particularly dynamic, and appeared poorly edited and proofread. I felt as if they publishers had rushed it to market without thoroughly editing. But I am glad to have it just so that all the information is in one place. And people who have not followed the Trump regime as closely as I have will find it informative up to a point.",March-9-2018,3
1391,"Quick read and very entertaining,  Chaos in the Capitol is the main point.. I hope anyone reading this book will vote to keep Trump to one term or less..",February-5-2018,5
1392,This was a good book. I would recommend it to all people who are interested in politics. It gave me insight into the White house.,January-13-2018,5
1393,"Michael Wolff did a great job writing this book. Every single day with Trump has been a daily poop show from the world's biggest hypocrite. I watched him on the campaign and I was counting the days until we no longer had to look at or listen to this jerk. The book lays out the nightmare in the White House quite well.  Our country is being  held hostage by a non-stop lying con-artist who is in no way qualified to be a town mayor, never mind President of the United States. The damage he is doing to our country will take years to fix after this incompetent cheat.  Michael Wolff did a good job of portraying what we have already been hearing in bits and pieces. This is the tip of the iceberg compared to what we will eventually learn from Special Counsel Bob Mueller. I have little doubt that he will expose years of illegal money laundering by Trump and evidence that Russia helped put this gross incompetent in our White House. I got this book from Amazon and I highly recommend giving it a read.",January-19-2018,5
1394,"This book was difficult to put down, wondering what was next to be revealed. I only wish the narrative had continued through a few more months. It won't change any minds about one's opinion of the White House turmoil.",March-13-2018,5
1395,"Everything you thought was going on with these lunatics, and then some. It isn't Hunter Thompson's ""Fear and Loathing,"" but it certainly made it obvious how incompetent these people are.",February-3-2018,5
1396,"The author, Michael Wolff writes an easy-to-read, understandable narrative and he is credible. While what the actions of the chief character in the book seem more like absurd fiction, Wolff's research, personal experience and reporting tell me it's not: it's real! While the situation in today's White House is sad for our American democracy and it's hard to read about it, every citizen of this country needs to the read this book..",March-14-2018,5
1397,The author provided many details behind what I read/heard from the mainstream media.  He also confirmed some of my suspicions about the current administration in the White House.,February-20-2018,5
1398,"A must read!No revelations to anyone who has been paying attention, but enthralling anecdotes and stories from inside Trumpâ€™s White House.It deserves to to sell more copies than the Bible.I am buying copies for my Trump voting relatives.",January-6-2018,5
1399,Well...well....well. No surprises here. Those who voted for Trump knew exactly what they were getting. Those of us who didn't..... we also knew exactly what we were getting. What a sh*t-storm. Most entertaining account of the Bannon and the Jarvanka angle - who knew those kids were in over their heads? (Pretty much everyone except them.) Absolutely NO ONE with a brain will find this enlightening in any way - you will not be surprised at the chaos that is the Trump Presidency. The in-fighting is the best. Schadenfreude at it's finest. Great book - it confirmed my worst fears.Will happily watch them all go down in the 2018 midterms.,February-2-2018,5
1400,"Fire and Fury: Inside the Trump White HouseNothing new to add to the review. I bought the hard-back even though I'd already gotten it for my wife on Kindle, just to thumb my nose at the concept of saying you can't publish something in a free country. That probably did more for the book sales than any publicity campaign could do.The writing is not all that good IMHO, I haven't gotten past the third chapter in over a month...",February-27-2018,5
1401,"Wolff handles the scandalous and gossipy content of the book well, but it could have used some additional proofreading. Minor typographical and even minor spelling errors are common. Still worth reading, though.",January-6-2018,4
1402,"I wanted to love this book. However, it feels much like a tabloid, is not objective, and I wonder how much of it is actually true. It was fun to read the juicy bits and I enjoyed contributing to the millions of books sold.",February-13-2018,3
1403,"Good read. A real page turner, hard to put down. Well-written for the most part, a few editing errors, probably due to the rush to publish. It won't surprise anybody who has been paying attention to the non-Fox, non-Breitbart news. Having said that, it is amazing how little support Trump has within his administration. Even his family are not always his friends. I'm sure there are relatively minor factual errors, but on the whole, it agrees with everything I have read and heard about the dumpster fire that is the Trump administration. May God, in whatever form he or she exists, have mercy on us all.",January-15-2018,5
1404,Great book that every decent American who's concerned about the future direction of this country should read and think about. Highly recommended! Really appreciated the efforts of the author to expose the ugly truth of this presidency.,January-12-2018,5
1405,Poorly edited but gives a chronological timeline and an inside look into the most dysfunctional White House ever. It reads pretty much like the news everyday. One mismanaged disaster and treasonous act after another.,March-10-2018,5
1406,"It was funny. It doesn't seem far from the mark in regards to Trump's very public persona. Not really a well written book, but it was entertaining in this year and a half of doom, gloom, and political induced national paranoia.",March-14-2018,3
1407,"The further you get into this book, the more convinced you become that the author really has an insight into the Trump White House.  I'm left with the question of just how did my fellow citizens allow this to happen?  A must read.",March-7-2018,5
1408,Great book. Well written. Extensively researched and absolutely believable. I wanted the book to keep going â€”especially into the Russian investigation and whatâ€™s really happening in the White House. Like how much more of Trumpâ€™s affairs will Melania put up with before she leaves?,February-23-2018,5
1409,"I loved the narration, and am sure to read over again in print! Superior reporting and delivery..I believed every word of it.This country's in serious trouble because most people already knew this was happening already! Where is the 25th amendment? I just read the book by 28 psychiatrists! How long do we have to suffer this fool! Need to IMPEACH!DELIVER US FROM TRUMP!  Genius...hahahahaha",January-8-2018,5
1410,Thus was a very detailed look at the chaos inside the Trump White House.  It is hard to believe that the base bought all this and continue to support him.,January-23-2018,5
1411,"I donâ€™t doubt that Wolf dishes up credible journalism, and that he provides a true representation of the Trump White House. But facts matter. I wish he had the credible backing of a major news organization with a department of fact checkers.",January-12-2018,5
1412,A great read. Nightly news updates give real-time credence. It's an interactive book ;),January-30-2018,5
1413,"Good read, though mostly about  the already known nonsense going on in that regime.",January-30-2018,4
1414,All I can say is Yikes!! Had this feeling there was stuff really off going on.,February-12-2018,5
1415,"Interesting content but think this is his first draft.  Sentences that aren't sentences, typos, and a run on of run on sentences.  Makes it difficult to read and I regret buying it.",February-20-2018,2
1416,Hah.. Hah. Hah.. Love this book. I wish there were more dirty laundry. #notafanof45,January-30-2018,5
1417,Michael Wolff is an excellent author. His insightful expose of the Trump White House reads like a comedy of errors. I laughed! I cringed! I had a great ride! Michael Wolff soars to superstardom as an author with this tome.,February-4-2018,5
1418,Get this book. Weather you like him or not this book tells you about the real man. I think that after you read this you are going to say why did I votefor this guy. And why is he still in charge of my country.,February-27-2018,5
1419,Recap of events. Interesting descriptions of the Trump family members and what other staffers think of them. The ambitions  of them and the lack of insight and abilities is amazing. Recommend reading for all â€œTrumpersâ€ù.,January-7-2018,4
1420,"Great read. It's catching a lot of heat from the right for being too harsh, but honestly, the author does a great job of taking rather scathing quotes from Trump's inner circle, and spinning them into the best possible narrative for Trump. I think it's fair. If anything, the left should probably be mad it isn't more outrageous. Really it just reads like the daily articles you see on the White House, and kind of just confirms... it's an ugly time to be involved in American politics.",January-10-2018,5
